Tanggal,Kasus,Sembuh,Meninggal,PDP,ODP,Positif,PDPODP,SM
2-Mar,2,0,0,,,2,0,0
3-Mar,2,0,0,,,2,0,0
4-Mar,2,0,0,,,2,0,0
5-Mar,2,0,0,,,2,0,0
6-Mar,4,0,0,,,4,0,0
7-Mar,4,0,0,,,4,0,0
8-Mar,6,0,0,,,6,0,0
9-Mar,19,0,0,,,19,0,0
10-Mar,27,0,0,,,27,0,0
11-Mar,34,2,2,,,34,0,4
12-Mar,34,3,4,,,34,0,7
13-Mar,69,5,4,,,69,0,9
14-Mar,96,8,5,,,96,0,13
15-Mar,117,8,5,,,117,0,13
16-Mar,134,8,5,,,134,0,13
17-Mar,172,9,7,,,172,0,16
18-Mar,227,11,19,,,227,0,30
19-Mar,309,15,25,,,309,0,40
20-Mar,369,16,32,,,369,0,48
21-Mar,450,20,38,,,450,0,58
22-Mar,514,29,48,,,514,0,77
23-Mar,579,30,49,,,579,0,79
24-Mar,685,30,55,,,685,0,85
25-Mar,790,31,58,,,790,0,89
26-Mar,893,35,78,,,893,0,113
27-Mar,1046,46,87,,,1046,0,133
28-Mar,1155,59,102,,,1155,0,161
29-Mar,1285,64,114,,,1285,0,178
30-Mar,1414,75,122,,,1414,0,197
31-Mar,1528,81,136,,,1528,0,217
1-Apr,1677,103,157,,,1677,0,260
2-Apr,1790,112,170,,,1790,0,282
3-Apr,1986,134,181,,,1986,0,315
4-Apr,2092,150,191,,,2092,0,341
5-Apr,2273,164,198,,,2273,0,362
6-Apr,2491,192,209,,,2491,0,401
7-Apr,2738,204,221,,,2738,0,425
8-Apr,2956,222,240,,,2956,0,462
9-Apr,3293,252,280,,,3293,0,532
10-Apr,3512,282,306,,,3512,0,588
11-Apr,3842,286,327,,,3842,0,613
12-Apr,4241,359,373,,,4241,0,732
13-Apr,4557,380,399,,,4557,0,779
14-Apr,4839,426,459,10482,139137,4839,149619,885
15-Apr,5136,446,469,11165,165549,5136,176714,915
16-Apr,5516,548,496,11873,169446,5516,181319,1044
17-Apr,5923,607,520,12610,173732,5923,186342,1127
18-Apr,6248,631,535,12979,176344,6248,189323,1166
19-Apr,6575,686,582,15646,178883,6575,194529,1268
20-Apr,6760,747,590,16343,181770,6760,198113,1337
21-Apr,7135,842,616,16763,186330,7135,203093,1458
22-Apr,7418,913,636,17754,193571,7418,211325,1549
23-Apr,7775,960,647,18283,195948,7775,214231,1607
24-Apr,8211,1002,689,18301,197951,8211,216252,1691
25-Apr,8607,1042,720,19084,206911,8607,225995,1762
26-Apr,8882,1107,743,19648,209040,8882,228688,1850
27-Apr,9096,1151,765,19987,210199,9096,230186,1916
28-Apr,9511,1254,773,20428,213644,9511,234072,2027
29-Apr,9771,1391,784,21653,221750,9771,243403,2175
30-Apr,10118,1522,792,21827,230411,10118,252238,2314
1-May,10551,1591,800,22123,233120,10551,255243,2391
2-May,10843,1665,831,22545,235035,10843,257580,2496
3-May,11192,1876,845,23130,236369,11192,259499,2721
4-May,11587,1954,864,24020,238178,11587,262198,2818
5-May,12071,2197,872,26408,239226,12071,265634,3069
6-May,12438,2317,895,26932,240726,12438,267658,3212
7-May,12776,2381,930,28508,243455,12776,271963,3311
8-May,13112,2494,943,29087,244480,13112,273567,3437
9-May,13645,2607,959,29690,246847,13645,276537,3566
10-May,14032,2698,973,30317,248690,14032,279007,3671
11-May,14265,2881,991,31994,249105,14265,281099,3872
12-May,14749,3063,1007,32147,251861,14749,284008,4070
13-May,15438,3287,1028,33042,256299,15438,289341,4315
14-May,16006,3518,1043,33672,258639,16006,292311,4561
15-May,16496,3803,1076,34360,262919,16496,297279,4879
16-May,17025,3911,1089,35069,269449,17025,304518,5000
17-May,17514,4129,1148,35800,270876,17514,306676,5277
18-May,18010,4324,1191,11422,45047,18010,56469,5515
19-May,18496,4467,1221,11891,45300,18496,57191,5688
20-May,19189,4575,1242,11705,44703,19189,56408,5817
21-May,20162,4838,1278,11066,50187,20162,61253,6116
22-May,20796,5057,1326,11028,47150,20796,58178,6383
23-May,21745,5249,1351,11495,49958,21745,61453,6600
24-May,22271,5402,1372,11389,42551,22271,53940,6774
25-May,22750,5642,1391,12342,49361,22750,61703,7033
26-May,23165,5877,1418,12022,65748,23165,77770,7295
27-May,23851,6057,1473,12667,49942,23851,62609,7530
28-May,24538,6240,1496,13250,48749,24538,61999,7736
29-May,25216,6492,1520,12499,49212,25216,61711,8012
30-May,25773,7015,1573,12832,47714,25773,60546,8588
31-May,26473,7308,1613,12913,49936,26473,62849,8921
1-Jun,26940,7637,1641,13120,48358,26940,61478,9278
2-Jun,27549,7935,1663,13213,48023,27549,61236,9598
3-Jun,28233,8406,1698,13285,48153,28233,61438,10104
4-Jun,28818,8892,1721,13416,47373,28818,60789,10613
5-Jun,29521,9443,1770,13592,49320,29521,62912,11213
6-Jun,30514,9907,1801,13347,46571,30514,59918,11708
7-Jun,31186,10498,1851,14197,40370,31186,54567,12349
8-Jun,32033,10904,1883,14010,38791,32033,52801,12787
9-Jun,33076,11414,1923,14108,38394,33076,52502,13337
10-Jun,34316,12129,1959,14242,43945,34316,58187,14088
11-Jun,35295,12636,2000,14052,43414,35295,57466,14636
12-Jun,36406,13213,2048,13923,37538,36406,51461,15261
13-Jun,37420,13776,2091,13578,42450,37420,56028,15867
14-Jun,38277,14531,2134,13574,41639,38277,55213,16665
15-Jun,39294,15123,2198,13649,36744,39294,50393,17321
16-Jun,40400,15703,2231,13510,29124,40400,42634,17934
17-Jun,41431,16243,2276,13279,42714,41431,55993,18519
18-Jun,42762,16798,2339,17923,36698,42762,54621,19137
19-Jun,43803,17349,2373,13211,36464,43803,49675,19722
20-Jun,45029,17883,2429,13150,37336,45029,50486,20312
21-Jun,45891,18404,2465,13225,56436,45891,69661,20869
22-Jun,46845,18735,2500,12999,43500,46845,56499,21235
23-Jun,47896,19241,2535,13348,35983,47896,49331,21776
24-Jun,49009,19658,2573,13069,36648,49009,49717,22231
